Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
's-Hertogenbosch	斯海尔托亨博斯	斯海爾托亨博斯	Sīhǎi'ěrtuōhēngbósī	Sī-hói-yíh-tok-hāng-bok-sī	
1:00 AM	凌晨一点	凌晨一點	língchén yī diǎn	lìhng-sàhn yāt dím	
1:00 AM	凌晨一点钟	凌晨一點鐘	língchén yī diǎnzhōng	lìhng-sàhn yāt dím-jūng	
3:00 AM	凌晨三点	凌晨三點	língchén sān diǎn	lìhng-sàhn sāam dím	
3:00 AM	凌晨三点钟	凌晨三點鐘	língchén sān diǎnzhōng	lìhng-sàhn sāam dím-jūng	
2:00 AM	凌晨两点	凌晨兩點	língchén liǎng diǎn	lìhng-sàhn léuhng dím	
2:00 AM	凌晨两点钟	凌晨兩點鐘	língchén liǎng diǎnzhōng	lìhng-sàhn léuhng dím-jūng	
4:00 AM	凌晨四点	凌晨四點	língchén sì diǎn	lìhng-sàhn sei dím	
4:00 AM	凌晨四点钟	凌晨四點鐘	língchén sì diǎnzhōng	lìhng-sàhn sei dím-jūng	
<netspeak> 886; bye-bye then	八八六	八八六	bābāliù	baat-baat-luhk	
6A	六号甲	六號甲	liù hào jiǎ	luhk houh gaap	
aaargh (screaming)	怄火	慪火	òuhuǒ	āu-fó	
Aach	阿赫	阿赫	Āhè	A-hāk	
Aachen	亚琛	亞琛	Yàchēn	Nga-sām	ˈɑkən
Aach (river)	阿赫河	阿赫河	Āhè Hé	A-hāk Hòh	
Aadam	艾达姆	艾達姆	Àidámǔ	Ngaaih-daaht-móuh	
Aadesh	艾德希	艾德希	Àidéxī	Ngaaih-dāk-hēi	
Aadi; Addie; Addy; Adi	艾蒂	艾蒂	Àidì	Ngaaih-dai	
Aagaard	埃格德	埃格德	Āigédé	Āai-gaak-dāk	
Aagaard	奥高	奧高	Àogāo	Ou-gōu	
Aagje	阿赫耶	阿赫耶	Āhèyē	A-hāk-yèh	
Aahna	阿娜	阿娜	Ānà	A-nàh	
Aailyaa	阿里娅	阿里婭	Ālǐyà	A-léih-a	
Aalborg	奥尔堡	奧爾堡	Ào'ěrbǎo	Ou-yíh-bóu	
Aaliyah; Aleah; Aliyah	艾丽娅	艾麗婭	Àilìyà	Ngaaih-laih-a	
Aaliyah; Aliyah	艾莉亚	艾莉亞	Àilìyà	Ngaaih-leih-nga	
Aalten	阿尔滕	阿爾滕	Ā'ěrténg	A-yíh-tàhng	
Aalto; Alto (name)	阿尔托	阿爾托	Ā'ěrtuō	A-yíh-tok	
Aamina; Amina; Emina	艾米娜	艾米娜	Àimǐnà	Ngaaih-máih-nàh	
Aamodt	奥莫特	奧莫特	Àomòtè	Ou-mohk-dahk	
Aamon	亚蒙	亞蒙	Yàměng	Nga-mùhng	
Aantaa	安塔	安塔	Āntǎ	Ngōn-taap	
Aapio	阿普罗	阿普羅	Āpǔluó	A-póu-lòh	
Aarak	奥拉克	奧拉克	Àolākè	Ou-lāai-hāk	
Aare	阿雷	阿雷	Āléi	A-lèuih	
Aare (river)	阿勒河	阿勒河	Ālè Hé	A-lahk Hòh	
Aarhus (in Denmark)	奥胡斯	奧胡斯	Àohúsī	Ou-wùh-sī	ˈɑhʉːs
Aaron (Bible)	亚伦	亞倫	Yàlún	Nga-lèuhn	ˈɛəɹən
Aaron (modern)	艾朗	艾朗	Àilǎng	Ngaaih-lóhng	ˈɛəɹən
Aaron (modern)	阿伦	阿倫	Ālún	A-lèuhn	ˈɛəɹən
Aaron (modern)	阿龙	阿龍	Ālóng	A-lùhng	ˈɛəɹən
Aarons	阿伦斯	阿倫斯	Ālúnsī	A-lèuhn-sī	
Aaru	亚鲁	亞魯	Yàlǔ	Nga-lóuh	
Aashish	阿施伊什	阿施伊什	Āshīyīshí	A-sī-yī-sahp	
Aasy	奥丝	奧絲	Àosī	Ou-sī	
ABA; applied behaviour analysis (misguided autism interaction therapy)	应用行为分析法	應用行為分析法	yìngyòng xíngwéi fēnxifǎ	ying-yuhng hàhng-wàih fān-sīk-faat	
Aba (county, in Sichuan)	阿坝县	阿壩縣	Ābà Xiàn	A-ba Yún	
Abaddon	亚巴顿	亞巴頓	Yàbādùn	Nga-bā-deuhn	ʌbˈædən
