Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
Aaron (Bible)	亚伦	亞倫	Yàlún	Nga-lèuhn	ˈɛːɹən
Aaron (modern)	阿伦	阿倫	Ālún	A-lèuhn	
Aaron (modern)	阿龙	阿龍	Ālóng	A-lùhng	
Aasy	奥丝	奧絲	Àosī	Ou-sī	
Aba (county, in Sichuan)	阿坝县	阿壩縣	Ābà Xiàn	A-ba Yún	
Abaddon	亚巴顿	亞巴頓	Yàbādùn	Nga-bā-deuhn	ʌbˈædən
Abag (banner, in Inner Mongolia)	阿巴嘎旗	阿巴嘎旗	Ābāgā Qí	A-bā-gā Kèih	
Abagtha	亚拔他	亞拔他	Yàbátā	Nga-baht-tā	ʌbˈæɡθʌ
Abanah	亚罢拿	亞罷拿	Yàbàná	Nga-bah-nàh	ʌbˈeɪnʌ
Abanah (river)	亚罢拿河	亞罷拿河	Yàbàná hé	Nga-bah-nàh hòh	ʌbˈeɪnʌ
abandon everything	撇下一切	撇下一切	piēxia yīqiè	pit-hah yāt-chai	
abandon oneself	舍己	捨己	shě jǐ	sé géi	
Abarim	亚巴琳	亞巴琳	Yàbālín	Nga-bā-làhm	ˈæbʌɹɪm
Abashiri (place in Hokkaido)	纲走	綱走	Gāngzǒu	Gōng-jáu	
Abbas	阿巴斯	阿巴斯	Ābāsī	A-bā-sī	
Abbatemarco	阿巴特马科	阿巴特馬科	Ābātèmǎkē	A-bā-dahk-máh-fō	
abba (transliteration)	阿巴	阿巴	ābā	a-bā	
Abbott	阿博特	阿博特	Ābótè	A-bok-dahk	
abbreviated to	被简称为	被簡稱為	bèi jiǎnchēng wéi	beih gáan-chīng wàih	
Abdallah	阿都拿	阿都拿	Ādōuná	A-dōu-nàh	
Abdi	亚伯底	亞伯底	Yàbódǐ	Nga-ba-dái	ˈæbdaɪ
Abdon	押顿	押頓	Yādùn	Aat-deuhn	ˈæbdɒn
Abdul	阿杜勒	阿杜勒	Ādùlè	A-douh-lahk	
Abdullah	阿卜杜拉	阿卜杜拉	Ābǔdùlā	A-būk-douh-lāai	
Abdur	阿卜杜勒	阿卜杜勒	Ābǔdùlè	A-būk-douh-lahk	
Abebe	阿贝贝	阿貝貝	Ābèibèi	A-bui-bui	
Abednego	亚伯尼哥	亞伯尼哥	Yàbónígē	Nga-ba-nèih-gō	əbˈɛdniɡəʊ
Abednego (older translation)	亚伯尼歌	亞伯尼歌	Yàbónígē	Nga-ba-nèih-gō	əbˈɛdniɡəʊ
Abel	亚伯	亞伯	Yàbó	Nga-ba	
Abel-meholah	亚伯米何拉	亞伯米何拉	Yàbómǐhélā	Nga-ba-máih-hòh-lāai	ˌeɪbʌlməhˈəʊlʌ
Abel-shittim	亚伯什亭	亞伯什亭	Yàbóshítíng	Nga-ba-sahm-tìhng	ˌeɪbʌlʃˈɪtəm
Abell	阿贝尔	阿貝爾	Ābèi'ěr	A-bui-yíh	
Abell (older version?)	亚伯尔	亞伯爾	Yàbó'ěr	Nga-ba-yíh	
Abeng	阿本	阿本	Āběn	A-bún	
